iter	Passed	Remaining
362	606	1064
363	607	1061
364	609	1059
365	617	1068
366	618	1066
367	619	1063
368	620	1061
369	622	1059
370	623	1057
371	624	1054
372	627	1055
373	632	1058
374	633	1056
375	635	1054
376	637	1052
377	638	1050
378	639	1048
379	647	1056
380	649	1054
381	650	1052
382	680	1096
383	682	1094
384	683	1092
385	685	1089
386	686	1087
387	687	1084
388	689	1083
389	693	1084
390	695	1083
391	697	1081
392	698	1078
393	699	1076
394	701	1073
395	702	1071
396	703	1068
397	705	1066
398	711	1071
399	713	1069
400	714	1067
401	716	1065
402	742	1100
403	744	1097
404	794	1167
405	796	1165
406	798	1163
407	799	1160
408	804	1162
409	808	1163
410	810	1161
411	812	1159
412	813	1156
413	815	1154
414	817	1152
415	820	1151
416	822	1149
417	823	1147
418	825	1145
419	828	1144
420	837	1152
421	839	1150
422	846	1154
423	848	1152
424	852	1152
425	853	1149
426	854	1146
427	855	1143
428	857	1141
429	862	1143
430	864	1141
431	866	1138
432	867	1136
433	868	1132
434	869	1129
435	871	1127
436	873	1124
437	874	1121
438	875	1118
439	877	1116
440	878	1113
441	880	1111
442	883	1111
443	885	1108
444	886	1106
445	888	1104
446	890	1101
447	894	1102
448	896	1100
449	898	1097
450	899	1094
451	901	1092
452	907	1096
453	909	1094
454	911	1091
455	912	1089
456	914	1086
457	915	1083
458	916	1080
459	917	1077
460	920	1076
461	923	1075
462	942	1092
463	944	1090
464	947	1090
465	948	1087
466	953	1087
467	955	1085
468	956	1082
469	959	1081
470	961	1079
471	962	1076
472	974	1085
473	976	1083
474	978	1081
475	980	1079
476	986	1081
477	988	1079
478	989	1076
479	991	1074
480	992	1071
481	994	1068
482	995	1065
483	1018	1085
484	1020	1083
485	1023	1082
486	1043	1098
487	1047	1099
488	1052	1100
489	1055	1098
490	1056	1095
491	1065	1100
492	1067	1097
493	1068	1094
494	1069	1091
495	1071	1088
496	1084	1097
497	1086	1094
498	1087	1091
499	1088	1088
500	1090	1085
501	1091	1083
502	1096	1083
503	1098	1080
504	1099	1077
505	1100	1074
506	1105	1075
507	1107	1072
508	1114	1075
509	1115	1072
510	1117	1069
511	1118	1066
512	1121	1064
513	1130	1069
514	1132	1066
515	1134	1064
516	1137	1063
517	1146	1066
518	1147	1063
519	1150	1061
520	1152	1059
521	1161	1063
522	1162	1060
523	1164	1057
524	1165	1054
525	1167	1051
526	1177	1056
527	1182	1056
528	1192	1061
529	1193	1058
530	1195	1056
531	1197	1053
532	1199	1051
533	1204	1050
534	1210	1052
535	1215	1052
536	1233	1063
537	1246	1070
538	1282	1097
539	1286	1096
540	1295	1099
541	1307	1104
542	1308	1101
543	1309	1098
544	1311	1094
545	1312	1091
546	1314	1088
547	1322	1091
548	1324	1088
549	1326	1085
550	1327	1082
551	1329	1079
552	1331	1075
553	1334	1074
554	1336	1071
555	1338	1068
556	1340	1066
557	1341	1062
558	1360	1073
559	1362	1070
560	1367	1070
561	1369	1067
562	1371	1064
563	1372	1061
564	1374	1057
565	1375	1054
566	1376	1051
567	1380	1050
568	1382	1047
569	1385	1045
570	1388	1042
571	1390	1040
572	1391	1037
573	1392	1033
574	1396	1031
575	1399	1030
576	1402	1027
577	1404	1025
578	1406	1022
579	1407	1019
580	1408	1015
581	1412	1014
582	1413	1010
583	1414	1007
584	1415	1004
585	1416	1000
586	1417	997
587	1418	994
588	1420	990
589	1421	987
590	1422	984
591	1423	981
592	1427	979
593	1430	977
594	1430	974
595	1431	970
596	1432	967
597	1433	963
598	1434	960
599	1435	957
600	1436	953
601	1437	950
602	1438	947
603	1440	944
604	1442	941
605	1443	938
606	1444	934
607	1444	931
608	1445	928
609	1446	925
610	1447	921
611	1448	918
612	1449	915
613	1450	911
614	1451	908
615	1452	905
616	1453	902
617	1455	899
618	1457	897
619	1458	893
620	1459	890
621	1460	887
622	1461	884
623	1462	881
624	1463	878
625	1464	874
626	1465	871
627	1466	868
628	1467	865
629	1468	862
630	1469	859
631	1472	857
632	1473	854
633	1473	850
634	1474	847
635	1475	844
636	1476	841
637	1477	838
638	1478	835
639	1479	832
640	1480	829
641	1481	825
642	1482	822
643	1483	819
644	1484	816
645	1485	814
646	1487	811
647	1488	808
648	1489	805
649	1490	802
650	1491	799
651	1492	796
652	1493	793
653	1494	790
654	1495	787
655	1496	784
656	1497	781
657	1498	778
658	1499	775
659	1502	773
660	1503	771
661	1504	768
662	1505	765
663	1506	762
664	1507	759
665	1508	756
666	1509	753
667	1510	750
668	1511	747
669	1512	745
670	1513	742
671	1514	739
672	1517	737
673	1517	734
674	1518	731
675	1519	728
676	1520	725
677	1521	722
678	1522	719
679	1523	716
680	1524	714
681	1526	711
682	1527	709
683	1528	706
684	1529	703
685	1532	701
686	1533	698
687	1534	695
688	1534	692
689	1535	690
690	1536	687
691	1537	684
692	1538	681
693	1539	678
694	1540	676
695	1541	673
696	1542	670
697	1543	667
698	1544	664
699	1545	662
700	1547	660
701	1548	657
702	1549	654
703	1550	651
704	1551	649
705	1552	646
706	1553	643
707	1554	641
708	1555	638
709	1556	635
710	1557	633
711	1558	630
712	1559	627
713	1560	624
714	1562	622
715	1563	620
716	1564	617
717	1565	614
718	1566	612
719	1567	609
720	1568	606
721	1569	604
722	1570	601
723	1571	599
724	1572	596
725	1573	593
726	1574	591
727	1575	588
728	1577	586
729	1578	583
730	1579	581
731	1580	578
732	1581	575
733	1582	573
734	1583	570
735	1584	568
736	1585	565
737	1586	563
738	1586	560
739	1587	557
740	1588	555
741	1589	552
742	1590	550
743	1592	547
744	1593	545
745	1594	542
746	1595	540
747	1596	537
748	1597	535
749	1598	532
750	1599	530
751	1600	527
752	1601	525
753	1601	522
754	1602	520
755	1603	517
756	1604	515
757	1605	512
758	1607	510
759	1608	508
760	1609	505
761	1610	503
762	1611	500
763	1612	498
764	1613	495
765	1614	493
766	1615	490
767	1616	488
768	1617	485
769	1618	483
770	1619	480
771	1620	478
772	1620	476
773	1622	473
774	1623	471
775	1625	469
776	1626	466
777	1627	464
778	1628	462
779	1629	459
780	1630	457
781	1631	454
782	1632	452
783	1633	450
784	1634	447
785	1635	445
786	1638	443
787	1640	441
788	1641	439
789	1642	436
790	1643	434
791	1644	431
792	1645	429
793	1646	427
794	1647	424
795	1648	422
796	1649	420
797	1650	417
798	1652	415
799	1653	413
800	1654	411
801	1655	408
802	1656	406
803	1657	404
804	1658	401
805	1660	399
806	1661	397
807	1662	395
808	1663	392
809	1664	390
810	1665	388
811	1669	386
812	1671	384
813	1673	382
814	1675	380
815	1676	377
816	1676	375
817	1677	373
818	1678	371
819	1680	368
820	1682	366
821	1684	364
822	1685	362
823	1686	360
824	1687	357
825	1688	355
826	1689	353
827	1690	351
828	1691	348
829	1694	347
830	1695	344
831	1699	343
832	1700	340
833	1701	338
834	1702	336
835	1703	334
836	1704	332
837	1706	329
838	1707	327
839	1708	325
840	1710	323
841	1711	321
842	1714	319
843	1715	317
844	1716	314
845	1717	312
846	1718	310
847	1719	308
848	1720	306
849	1721	303
850	1722	301
851	1724	299
852	1725	297
853	1726	295
854	1729	293
855	1730	291
856	1731	288
857	1732	286
858	1733	284
859	1734	282
860	1736	280
861	1737	278
862	1738	276
863	1739	273
864	1740	271
865	1743	269
866	1744	267
867	1745	265
868	1746	263
869	1748	261
870	1749	259
871	1750	256
872	1751	254
873	1752	252
874	1753	250
875	1754	248
876	1755	246
877	1756	244
878	1759	242
879	1760	240
880	1761	237
881	1763	235
882	1764	233
883	1765	231
884	1767	229
885	1768	227
886	1769	225
887	1770	223
888	1774	221
889	1775	219
890	1776	217
891	1779	215
892	1780	213
893	1781	211
894	1782	209
895	1784	207
896	1789	205
897	1792	203
898	1794	201
899	1795	199
900	1806	198
901	1807	196
902	1817	195
903	1827	194
904	1830	192
905	1832	190
906	1834	188
907	1837	186
908	1839	184
909	1841	182
910	1846	180
911	1847	178
912	1848	176
913	1849	173
914	1850	171
915	1854	170
916	1855	167
917	1856	165
918	1859	163
919	1860	161
920	1861	159
921	1862	157
922	1863	155
923	1864	153
924	1865	151
925	1871	149
926	1872	147
927	1874	145
928	1876	143
929	1877	141
930	1878	139
931	1879	137
932	1880	135
933	1883	133
934	1884	131
935	1885	128
936	1886	126
937	1887	124
938	1888	122
939	1889	120
940	1890	118
941	1891	116
942	1892	114
943	1893	112
944	1894	110
945	1895	108
946	1896	106
947	1898	104
948	1899	102
949	1900	100
950	1902	98
951	1903	95
952	1904	93
953	1905	91
954	1906	89
955	1907	87
956	1908	85
957	1909	83
958	1910	81
959	1912	79
960	1915	77
961	1916	75
962	1916	73
963	1917	71
964	1919	69
965	1920	67
966	1920	65
967	1921	63
968	1922	61
969	1924	59
970	1925	57
971	1926	55
972	1928	53
973	1929	51
974	1930	49
975	1931	47
976	1932	45
977	1933	43
978	1935	41
979	1936	39
980	1937	37
981	1938	35
982	1939	33
983	1941	31
984	1943	29
985	1945	27
986	1946	25
987	1947	23
988	1948	21
989	1949	19
990	1950	17
991	1951	15
992	1952	13
993	1953	11
994	1954	9
995	1955	7
996	1955	5
997	1956	3
998	1958	1
999	1959	0
